,topic,category,content
19,Meta planning to launch crypto-supported payments platform: Filings,technology,"Meta is planning to launch a payments platform with support for cryptocurrency, trademark filings revealed. Meta filed five applications in the US for a new platform called 'Meta Pay'. The applications seek licenses to operate as an ""online social networking service"" for investors allowing financial trades and exchange of digital currency, virtual currency and cryptocurrency, among other things. "
20,"Haven't worked on Dogecoin for 7.5 yrs, & won't ever again: Co-creator",technology,"Dogecoin Co-creator Billy Markus took to Twitter to clarify that he doesn't work on Dogecoin anymore, saying, ""I haven't for 7.5 years, and I won't ever again."" ""One goal here is just to help people see the cryptocurrency market for what it actually is. Doing so in an amusing way is a bonus,"" he added."
21,"Twitter to label false tweets on Ukraine, disable likes, retweets",technology,"Twitter has announced that it will start putting misleading and false posts regarding the conflict in Ukraine behind a warning notice and limit their spread. The platform will not amplify or recommend such tweets and likes, retweets and shares will be disabled. It'll prioritise adding labels to misleading tweets from high-profile accounts such as verified users or official government profiles."
22,"Indore's drone startup sprays fertiliser over 4,000 acres of land",technology,"Drone startup SkyLane Dronetech has sprayed fertiliser over 4,000 acres of agricultural land using a drone. ""We have sprayed fertilisers in...Khargone, Raisen, Shajapur, Rajgarh, Guna and Gwalior districts with...a drone to do a business of ₹12.5 lakh,'' SkyLane CEO Prayas Saxena said. The Indore-based startup received ₹2 crore loan from the central government's Agriculture Infrastructure Fund."
23,Samsung leader excused from trial hearing ahead of Biden's plant visit,technology,"Samsung leader Jay Y Lee has been excused from attending an accounting fraud trial hearing on Friday, ahead of US President Joe Biden's tour of a Samsung plant in South Korea. Lee is expected to accompany Biden during his tour of the plant in Pyeongtaek. The plant is expected to be Biden's first stop on his trip to South Korea."
24,New York probes social media platforms Buffalo shooting suspect used,technology,"Social media platforms believed to be used by Buffalo mass shooting suspect are being investigated by New York state authorities. The probe will focus on platforms like Amazon-owned Twitch, Discord, online message boards 4chan and 8chan and other platforms ""the shooter used to amplify his attack"". Twitch had detected the shooter's live stream within two minutes of the violence beginning."
25,Apple delays plan requiring employees to come to office 3 days a week,technology,"Apple has delayed its plan that required its employees to come to the office three days a week, according to a memo seen by Bloomberg. Apple said that the requirement is being delayed ""for the time being"", without providing a new date. The technology company still requires its employees to come to the office two days a week."
26,"Musk responds after Twitter employee says 'he is special needs, he has Asperger's'",technology,"Elon Musk has responded after a journalist shared a video in which a Twitter employee calls the Tesla CEO ""special needs"" and says that he has Asperger's. ""Twitter exec trashing free speech & mocking people with Asperger's,"" Musk wrote. ""I can't even take what Musk says seriously,"" the employee can be heard saying in the video."
27,Follow rules or leave India: Government to VPN providers,technology,"VPN service providers that are not ready to comply with the new guidelines have the only option to exit from India, MoS for Electronics and IT Rajeev Chandrasekhar said. ""If you don't have the logs, start maintaining the logs. If you are a VPN that wants to hide...then frankly you have no other opportunity but to pull out,"" he said."
28,"Elon Musk loses $12 billion in a day after he tweets on politics, criticises ESG",technology,"Elon Musk lost $12 billion in a day after he took to Twitter to announce his political switch from Democrat to Republican and criticised Environmental, Social, and Governance (ESG). Musk remains the world's richest person, with a fortune of around $210 billion, according to the Bloomberg Billionaires Index. Musk called Democrats the party of division and hate."
